sElectionAbbr	lDistTypeHndl	szDistrictTypeOfficialDesc	lDistrictHndl	lParentDistHndl	sElecDistrictID	iElecSubDistrict	szElecDistrictName
2014June3 	42	Census Tract District (2010)	1150		ZT-695	0	2010 CT - 5034.02
2014June3 	42	Census Tract District (2010)	1151		ZT-696	0	2010 CT - 5035.04
2014June3 	42	Census Tract District (2010)	1152		ZT-697	0	2010 CT - 5035.06
2014June3 	42	Census Tract District (2010)	1153		ZT-698	0	2010 CT - 5035.07
2014June3 	42	Census Tract District (2010)	1154		ZT-699	0	2010 CT - 5035.08
2014June3 	42	Census Tract District (2010)	1155		ZT-700	0	2010 CT - 5035.09
2014June3 	42	Census Tract District (2010)	1156		ZT-701	0	2010 CT - 5035.10
2014June3 	42	Census Tract District (2010)	1157		ZT-702	0	2010 CT - 5035.11
2014June3 	42	Census Tract District (2010)	1158		ZT-703	0	2010 CT - 5036.01
2014June3 	42	Census Tract District (2010)	1159		ZT-704	0	2010 CT - 5036.02
2014June3 	42	Census Tract District (2010)	1160		ZT-705	0	2010 CT - 5037.03
2014June3 	42	Census Tract District (2010)	1161		ZT-706	0	2010 CT - 5037.07
2014June3 	42	Census Tract District (2010)	1162		ZT-707	0	2010 CT - 5037.08
2014June3 	42	Census Tract District (2010)	1163		ZT-708	0	2010 CT - 5037.09
2014June3 	42	Census Tract District (2010)	1164		ZT-709	0	2010 CT - 5037.10
2014June3 	42	Census Tract District (2010)	1165		ZT-710	0	2010 CT - 5037.11
2014June3 	42	Census Tract District (2010)	1166		ZT-711	0	2010 CT - 5037.12
2014June3 	42	Census Tract District (2010)	1167		ZT-712	0	2010 CT - 5037.13
2014June3 	42	Census Tract District (2010)	1168		ZT-713	0	2010 CT - 5038.02
2014June3 	42	Census Tract District (2010)	1169		ZT-714	0	2010 CT - 5038.03
2014June3 	42	Census Tract District (2010)	1170		ZT-715	0	2010 CT - 5038.04
2014June3 	42	Census Tract District (2010)	1171		ZT-716	0	2010 CT - 5039.02
2014June3 	42	Census Tract District (2010)	1172		ZT-717	0	2010 CT - 5039.03
2014June3 	42	Census Tract District (2010)	1173		ZT-718	0	2010 CT - 5040.01
2014June3 	42	Census Tract District (2010)	1174		ZT-719	0	2010 CT - 5040.02
2014June3 	42	Census Tract District (2010)	1175		ZT-720	0	2010 CT - 5041.01
2014June3 	42	Census Tract District (2010)	1176		ZT-721	0	2010 CT - 5041.02
2014June3 	42	Census Tract District (2010)	1177		ZT-722	0	2010 CT - 5042.01
2014June3 	42	Census Tract District (2010)	1178		ZT-723	0	2010 CT - 5042.02
2014June3 	42	Census Tract District (2010)	1179		ZT-724	0	2010 CT - 5043.07
2014June3 	42	Census Tract District (2010)	1180		ZT-725	0	2010 CT - 5043.08
2014June3 	42	Census Tract District (2010)	1181		ZT-726	0	2010 CT - 5043.11
2014June3 	42	Census Tract District (2010)	1182		ZT-727	0	2010 CT - 5043.14
2014June3 	42	Census Tract District (2010)	1183		ZT-728	0	2010 CT - 5043.15
