sElectionAbbr	lPrecinctHndl	sPrecinctID	lPrecinctPortionHndl	sPrecinctPortion	lDistrictHndl	sElecDistrictID	lSubDistrictHndl	iElecSubDistrict
2014June3 	2791	0001795	2791		1409	CG019	1409	0
2014June3 	2791	0001795	2791		934	PK05	934	0
2014June3 	2791	0001795	2791		934	PK05	1464	6
2014June3 	2791	0001795	2791		945	PK09	945	0
2014June3 	2791	0001795	2791		945	PK09	946	1
2014June3 	2791	0001795	2791		1399	SA027	1399	0
2014June3 	2791	0001795	2791		972	SCC-3	972	0
2014June3 	2791	0001795	2791		972	SCC-3	974	2
2014June3 	2791	0001795	2791		985	SE002	985	0
2014June3 	2791	0001795	2791		987	SHS-2	987	0
2014June3 	2791	0001795	2791		1405	SS015	1405	0
2014June3 	2791	0001795	2791		1033	SUS-V	1033	0
2014June3 	2791	0001795	2791		1043	SUT-06	1043	0
2014June3 	2791	0001795	2791		1178	ZT-723	1178	0
2014June3 	2798	0001802	2798		882	*0	882	0
2014June3 	2798	0001802	2798		1425	*403	1425	0
2014June3 	2798	0001802	2798		902	*520	902	0
2014June3 	2798	0001802	2798		902	*520	1417	5
2014June3 	2798	0001802	2798		1409	CG019	1409	0
2014June3 	2798	0001802	2798		934	PK05	934	0
2014June3 	2798	0001802	2798		934	PK05	1464	6
2014June3 	2798	0001802	2798		945	PK09	945	0
2014June3 	2798	0001802	2798		945	PK09	946	1
2014June3 	2798	0001802	2798		1399	SA027	1399	0
2014June3 	2798	0001802	2798		972	SCC-3	972	0
2014June3 	2798	0001802	2798		972	SCC-3	975	3
2014June3 	2798	0001802	2798		985	SE002	985	0
2014June3 	2798	0001802	2798		987	SHS-2	987	0
2014June3 	2798	0001802	2798		1405	SS015	1405	0
2014June3 	2798	0001802	2798		1011	SUS-A	1011	0
2014June3 	2798	0001802	2798		1043	SUT-06	1043	0
2014June3 	2798	0001802	2798		1178	ZT-723	1178	0
2014June3 	2799	0001803	2799		882	*0	882	0
2014June3 	2799	0001803	2799		1425	*403	1425	0
2014June3 	2799	0001803	2799		902	*520	902	0
2014June3 	2799	0001803	2799		902	*520	1417	5
2014June3 	2799	0001803	2799		1409	CG019	1409	0
2014June3 	2799	0001803	2799		934	PK05	934	0
2014June3 	2799	0001803	2799		934	PK05	1464	6
2014June3 	2799	0001803	2799		945	PK09	945	0
2014June3 	2799	0001803	2799		945	PK09	946	1
