sElectionAbbr	iBalType	iContestID	iCalcCtstRotation
2014June3 	13	2621	2
2014June3 	13	2624	1
2014June3 	13	3001	1
2014June3 	13	4404	0
2014June3 	13	4410	1
2014June3 	13	4420	1
2014June3 	13	4430	2
2014June3 	13	5200	0
2014June3 	14	1030	13
2014June3 	14	1040	4
2014June3 	14	1050	4
2014June3 	14	1060	4
2014June3 	14	1070	1
2014June3 	14	1080	7
2014June3 	14	1090	1
2014June3 	14	1100	2
2014June3 	14	1150	1
2014June3 	14	1330	0
2014June3 	14	2604	1
2014June3 	14	2621	2
2014June3 	14	2624	1
2014June3 	14	3001	1
2014June3 	14	4401	0
2014June3 	14	4410	1
2014June3 	14	4420	1
2014June3 	14	4430	2
2014June3 	14	5200	0
2014June3 	19	1070	1
2014June3 	19	1080	7
2014June3 	19	1090	1
2014June3 	19	1100	2
2014June3 	19	1150	1
2014June3 	19	1200	0
2014June3 	19	1330	0
2014June3 	19	2604	1
2014June3 	19	2621	2
2014June3 	19	2624	1
2014June3 	19	3001	1
2014June3 	19	4404	0
2014June3 	19	4410	1
2014June3 	19	4420	1
2014June3 	19	4430	2
2014June3 	19	5200	0
2014June3 	20	1030	13
2014June3 	20	1040	4
2014June3 	20	1050	4
2014June3 	20	1060	4
2014June3 	20	1070	1
2014June3 	20	1080	7
2014June3 	20	1090	1
2014June3 	20	1100	2
2014June3 	20	1150	1
2014June3 	20	1330	0
2014June3 	20	2604	1
2014June3 	20	2621	2
2014June3 	20	2624	1
2014June3 	20	3001	1
2014June3 	20	4410	1
2014June3 	20	4420	1
2014June3 	20	4430	2
2014June3 	20	5200	0
2014June3 	21	1030	12
2014June3 	21	1040	3
2014June3 	21	1050	3
2014June3 	21	1060	3
2014June3 	21	1070	3
2014June3 	21	1080	6
2014June3 	21	1090	3
2014June3 	21	1100	1
2014June3 	21	1150	2
2014June3 	21	1320	0
2014June3 	21	2604	1
2014June3 	21	2621	1
2014June3 	21	2624	3
2014June3 	21	3001	3
2014June3 	21	4410	1
2014June3 	21	4420	1
2014June3 	21	4430	1
2014June3 	21	5200	0
2014June3 	21	5203	0
2014June3 	22	1030	12
2014June3 	22	1040	3
2014June3 	22	1050	3
2014June3 	22	1060	3
2014June3 	22	1070	3
2014June3 	22	1080	6
2014June3 	22	1090	3
2014June3 	22	1100	1
2014June3 	22	1150	2
2014June3 	22	1200	0
2014June3 	22	1320	0
2014June3 	22	2604	1
2014June3 	22	2621	1
2014June3 	22	2624	3
2014June3 	22	3001	3
2014June3 	22	4410	1
2014June3 	22	4420	1
2014June3 	22	4430	1
2014June3 	22	5200	0
2014June3 	22	5203	0
2014June3 	62	4420	1
2014June3 	62	4430	2
2014June3 	63	1030	13
2014June3 	63	1040	4
2014June3 	63	1050	4
2014June3 	63	1060	4
2014June3 	63	1070	1
2014June3 	64	4420	1
2014June3 	66	1040	4
2014June3 	83	2624	3
2014June3 	83	3001	3
2014June3 	83	4410	1
2014June3 	83	4420	1
2014June3 	83	4430	1
2014June3 	84	1030	14
2014June3 	84	1040	5
2014June3 	84	1050	5
2014June3 	84	1060	5
2014June3 	84	1070	2
2014June3 	84	1080	1
2014June3 	84	1090	2
2014June3 	84	1100	1
2014June3 	84	1140	4
2014June3 	84	1340	0
2014June3 	84	2604	1
2014June3 	84	2621	1
2014June3 	84	2624	2
2014June3 	84	3001	2
2014June3 	84	4401	0
2014June3 	84	4410	1
2014June3 	84	4420	1
2014June3 	84	4430	1
2014June3 	15	1030	12
2014June3 	15	1040	3
2014June3 	15	1050	3
2014June3 	15	1060	3
2014June3 	15	1070	3
2014June3 	15	1080	6
2014June3 	15	1090	3
2014June3 	15	1100	1
2014June3 	15	1150	2
2014June3 	15	1320	0
2014June3 	15	2604	1
2014June3 	15	2621	1
2014June3 	15	2624	3
2014June3 	15	3001	3
2014June3 	15	4410	1
2014June3 	15	4420	1
2014June3 	15	4430	1
2014June3 	15	5200	0
2014June3 	16	1030	10
2014June3 	16	1040	1
2014June3 	16	1050	1
2014June3 	16	1060	1
2014June3 	16	1070	1
2014June3 	16	1080	4
2014June3 	16	1090	1
2014June3 	16	1100	2
2014June3 	16	1150	1
2014June3 	16	1310	0
2014June3 	16	2604	1
2014June3 	16	2621	2
2014June3 	16	2624	2
2014June3 	16	3001	1
2014June3 	16	4401	0
2014June3 	16	4410	1
2014June3 	16	4420	1
2014June3 	16	4430	2
2014June3 	16	5200	0
2014June3 	17	1030	10
2014June3 	17	1040	1
2014June3 	17	1050	1
2014June3 	17	1060	1
2014June3 	17	1070	1
2014June3 	17	1080	4
2014June3 	17	1090	1
2014June3 	17	1100	2
2014June3 	17	1150	1
2014June3 	17	1200	0
2014June3 	17	1310	0
2014June3 	17	2604	1
2014June3 	17	2621	2
2014June3 	67	1030	13
2014June3 	17	2624	2
2014June3 	17	3001	1
2014June3 	17	4410	1
2014June3 	17	4420	1
2014June3 	17	4430	2
2014June3 	17	5200	0
2014June3 	17	5203	0
2014June3 	18	1030	13
2014June3 	18	1040	4
2014June3 	18	1050	4
2014June3 	18	1060	4
2014June3 	18	1070	1
2014June3 	18	1080	7
2014June3 	18	1090	1
2014June3 	18	1100	2
2014June3 	18	1150	1
2014June3 	18	1200	0
2014June3 	18	1330	0
2014June3 	18	2604	1
2014June3 	18	2621	2
2014June3 	18	2624	1
2014June3 	18	3001	1
2014June3 	18	4410	1
2014June3 	18	4420	1
2014June3 	18	4430	2
2014June3 	18	5200	0
2014June3 	19	1030	13
2014June3 	19	1040	4
2014June3 	19	1050	4
2014June3 	19	1060	4
2014June3 	63	1080	7
2014June3 	64	4430	2
2014June3 	66	1050	4
2014June3 	75	1030	10
2014June3 	75	1040	1
2014June3 	75	1050	1
2014June3 	75	1060	1
2014June3 	75	1070	1
2014June3 	75	1080	4
2014June3 	75	1090	1
2014June3 	75	1100	2
2014June3 	75	1130	3
2014June3 	75	1200	0
2014June3 	75	1310	0
2014June3 	75	2604	1
2014June3 	75	2621	2
2014June3 	75	2624	2
2014June3 	75	3001	1
2014June3 	75	4404	0
2014June3 	75	4410	1
2014June3 	75	4420	1
2014June3 	75	4430	2
2014June3 	76	1030	10
2014June3 	76	1040	1
2014June3 	76	1050	1
2014June3 	76	1060	1
2014June3 	76	1070	1
2014June3 	76	1080	4
2014June3 	76	1090	1
2014June3 	76	1100	2
2014June3 	76	1130	3
2014June3 	76	1200	0
2014June3 	76	1310	0
2014June3 	76	2604	1
2014June3 	76	2621	2
2014June3 	76	2624	2
2014June3 	76	3001	1
2014June3 	76	4410	1
2014June3 	76	4420	1
2014June3 	76	4430	2
2014June3 	77	1030	10
2014June3 	77	1040	1
2014June3 	77	1050	1
2014June3 	77	1060	1
2014June3 	77	1070	1
2014June3 	77	1080	4
2014June3 	77	1090	1
2014June3 	77	1100	2
2014June3 	77	1130	3
2014June3 	77	1200	0
2014June3 	77	1310	0
2014June3 	77	2604	1
2014June3 	77	2621	2
2014June3 	77	2624	2
2014June3 	77	3001	1
2014June3 	77	4410	1
2014June3 	77	4420	1
2014June3 	77	4430	2
2014June3 	23	1030	12
2014June3 	23	1040	3
2014June3 	23	1050	3
2014June3 	23	1060	3
2014June3 	23	1070	3
2014June3 	23	1080	6
2014June3 	23	1090	3
2014June3 	23	1100	1
2014June3 	23	1150	2
2014June3 	23	1320	0
2014June3 	23	2604	1
2014June3 	23	2621	1
2014June3 	23	2624	3
2014June3 	23	3001	3
2014June3 	23	4404	0
2014June3 	23	4410	1
2014June3 	23	4420	1
2014June3 	23	4430	1
2014June3 	23	5200	0
2014June3 	24	1030	13
2014June3 	24	1040	4
2014June3 	24	1050	4
2014June3 	24	1060	4
2014June3 	24	1070	1
2014June3 	24	1080	7
2014June3 	24	1090	1
2014June3 	24	1100	2
2014June3 	24	1150	1
2014June3 	24	1330	0
2014June3 	24	2604	1
2014June3 	24	2621	2
2014June3 	24	2624	1
2014June3 	24	3001	1
2014June3 	24	4404	0
2014June3 	24	4410	1
2014June3 	41	1150	1
2014June3 	41	1200	0
2014June3 	41	1310	0
2014June3 	41	2604	1
2014June3 	41	2621	2
2014June3 	41	2624	2
2014June3 	41	3001	1
2014June3 	41	4410	1
2014June3 	41	4420	1
2014June3 	41	4430	2
2014June3 	56	4410	1
2014June3 	56	4430	1
2014June3 	63	1090	1
2014June3 	65	1030	13
2014June3 	66	1060	4
2014June3 	78	1060	1
2014June3 	78	1070	1
2014June3 	78	1080	4
2014June3 	78	1090	1
2014June3 	78	1100	2
2014June3 	78	1150	1
2014June3 	78	1310	0
2014June3 	78	2604	1
2014June3 	78	2621	2
2014June3 	78	2624	2
2014June3 	78	3001	1
2014June3 	78	4410	1
2014June3 	78	4420	1
2014June3 	78	4430	2
2014June3 	79	1030	12
2014June3 	79	1040	3
2014June3 	79	1050	3
2014June3 	79	1060	3
2014June3 	79	1070	3
2014June3 	79	1080	6
2014June3 	79	1090	3
2014June3 	79	1100	1
2014June3 	79	1150	2
2014June3 	79	1320	0
2014June3 	79	2604	1
2014June3 	79	2621	1
2014June3 	79	2624	3
