sElectionAbbr	lPctPorHndl	lPrecinctHndl	sPrecinctID	sPrecinctPortion	szPrecinctName	iBalType	sAbsenteePrecinctID	szAbsenteePrecinctName	iMailBallotPrecinct	sVotingPrecinctID	szVotingPrecinctName
2014June3 		2174	0001091		PCT 1091	2	8001070	PCT 1070  C/S	0	0001070	PCT 1070  C/S
2014June3 		2175	0001092		PCT 1092	5	8001092	PCT 1092  C	0	0001092	PCT 1092  C
2014June3 		2176	0001093		PCT 1093	2	8001093	PCT MAIL 1093	1	0001093	PCT MAIL 1093
2014June3 		2177	0001094		PCT 1094	8	8001094	PCT 1094  S/V	0	0001094	PCT 1094  S/V
2014June3 		2178	0001095		PCT 1095	3	8001013	PCT 1013  C/S	0	0001013	PCT 1013  C/S
2014June3 		2179	0001096		PCT 1096	2	8001081	PCT 1081  S	0	0001081	PCT 1081  S
2014June3 		2180	0001097		PCT 1097	2	8001065	PCT 1065  C/S	0	0001065	PCT 1065  C/S
2014June3 		2181	0001098		PCT 1098	5	8001080	PCT 1080  C	0	0001080	PCT 1080  C
2014June3 		2182	0001101		PCT 1101	9	8001101	PCT 1101  C/K	0	0001101	PCT 1101  C/K
2014June3 		2183	0001102		PCT 1102	9	8001101	PCT 1101  C/K	0	0001101	PCT 1101  C/K
2014June3 		2184	0001103		PCT 1103	9	8001101	PCT 1101  C/K	0	0001101	PCT 1101  C/K
2014June3 		2185	0001104		PCT 1104	9	8001104	PCT 1104  C/K	0	0001104	PCT 1104  C/K
2014June3 		2186	0001105		PCT 1105	9	8001105	PCT 1105  2C	0	0001105	PCT 1105  2C
2014June3 		2187	0001106		PCT 1106	9	8001105	PCT 1105  2C	0	0001105	PCT 1105  2C
2014June3 		2188	0001107		PCT 1107	9	8001107	PCT 1107  C	0	0001107	PCT 1107  C
2014June3 		2189	0001108		PCT 1108	9	8001108	PCT 1108  C/K	0	0001108	PCT 1108  C/K
2014June3 		2190	0001109		PCT 1109	9	8001108	PCT 1108  C/K	0	0001108	PCT 1108  C/K
2014June3 		2191	0001110		PCT 1110	9	8001107	PCT 1107  C	0	0001107	PCT 1107  C
2014June3 		2192	0001111		PCT 1111	10	8001111	PCT 1111  C/J/K/S	0	0001111	PCT 1111  C/J/K/S
2014June3 		2193	0001112		PCT 1112	9	8001112	PCT 1112  C/K	0	0001112	PCT 1112  C/K
2014June3 		2194	0001113		PCT 1113	9	8001112	PCT 1112  C/K	0	0001112	PCT 1112  C/K
2014June3 		2195	0001114		PCT 1114	9	8001114	PCT 1114  C/K	0	0001114	PCT 1114  C/K
2014June3 		2196	0001115		PCT 1115	9	8001115	PCT 1115  C/K	0	0001115	PCT 1115  C/K
2014June3 		2197	0001116		PCT 1116	9	8001115	PCT 1115  C/K	0	0001115	PCT 1115  C/K
2014June3 		2198	0001117		PCT 1117	9	8001117	PCT 1117  C/K	0	0001117	PCT 1117  C/K
2014June3 		2199	0001118		PCT 1118	11	8001118	PCT 1118  C	0	0001118	PCT 1118  C
2014June3 		2200	0001119		PCT 1119	9	8001114	PCT 1114  C/K	0	0001114	PCT 1114  C/K
2014June3 		2201	0001120		PCT 1120	12	8001120	PCT MAIL 1120	1	0001120	PCT MAIL 1120
2014June3 		2202	0001121		PCT 1121	11	8001118	PCT 1118  C	0	0001118	PCT 1118  C
2014June3 		2203	0001122		PCT 1122	11	8001118	PCT 1118  C	0	0001118	PCT 1118  C
2014June3 		2204	0001123		PCT 1123	10	8001123	PCT 1123  C	0	0001123	PCT 1123  C
2014June3 		2205	0001124		PCT 1124	10	8001123	PCT 1123  C	0	0001123	PCT 1123  C
2014June3 		2206	0001125		PCT 1125	10	8001125	PCT 1125  C	0	0001125	PCT 1125  C
2014June3 		2207	0001126		PCT 1126	10	8001125	PCT 1125  C	0	0001125	PCT 1125  C
2014June3 		2208	0001127		PCT 1127	10	8001127	PCT 1127  C	0	0001127	PCT 1127  C
2014June3 		2209	0001128		PCT 1128	10	8001127	PCT 1127  C	0	0001127	PCT 1127  C
2014June3 		2210	0001129		PCT 1129	10	8001129	PCT 1129  C/J/K/S	0	0001129	PCT 1129  C/J/K/S
2014June3 		2211	0001130		PCT 1130	10	8001129	PCT 1129  C/J/K/S	0	0001129	PCT 1129  C/J/K/S
2014June3 		2212	0001131		PCT 1131	10	8001111	PCT 1111  C/J/K/S	0	0001111	PCT 1111  C/J/K/S
2014June3 		2213	0001132		PCT 1132	10	8001111	PCT 1111  C/J/K/S	0	0001111	PCT 1111  C/J/K/S
2014June3 		2214	0001133		PCT 1133	9	8001108	PCT 1108  C/K	0	0001108	PCT 1108  C/K
2014June3 		2215	0001134		PCT 1134	10	8001134	PCT 1134  C/J/K/S	0	0001134	PCT 1134  C/J/K/S
2014June3 		2216	0001135		PCT 1135	10	8001135	PCT 1135  C/H/K/S	0	0001135	PCT 1135  C/H/K/S
2014June3 		2217	0001136		PCT 1136	10	8001136	PCT 1136  C/H/K/S	0	0001136	PCT 1136  C/H/K/S
2014June3 		2218	0001137		PCT 1137	10	8001136	PCT 1136  C/H/K/S	0	0001136	PCT 1136  C/H/K/S
2014June3 		2219	0001138		PCT 1138	10	8001136	PCT 1136  C/H/K/S	0	0001136	PCT 1136  C/H/K/S
2014June3 		2220	0001139		PCT 1139	10	8001139	PCT 1139  C/S	0	0001139	PCT 1139  C/S
2014June3 		2221	0001140		PCT 1140	10	8001139	PCT 1139  C/S	0	0001139	PCT 1139  C/S
2014June3 		2222	0001141		PCT 1141	10	8001141	PCT 1141  C/S	0	0001141	PCT 1141  C/S
2014June3 		2223	0001142		PCT 1142	10	8001142	PCT 1142  C/S	0	0001142	PCT 1142  C/S
2014June3 		2224	0001143		PCT 1143	10	8001142	PCT 1142  C/S	0	0001142	PCT 1142  C/S
2014June3 		2225	0001144		PCT 1144	10	8001144	PCT 1144  C/S	0	0001144	PCT 1144  C/S
2014June3 		2226	0001145		PCT 1145	10	8001145	PCT 1145  C/S	0	0001145	PCT 1145  C/S
2014June3 		2227	0001146		PCT 1146	10	8001146	PCT 1146  C/S	0	0001146	PCT 1146  C/S
2014June3 		4175	0001147		PCT 1147	10	8001147	PCT 1147  C/S	0	0001147	PCT 1147  C/S
2014June3 		2229	0001148		PCT 1148	10	8001145	PCT 1145  C/S	0	0001145	PCT 1145  C/S
2014June3 		2230	0001149		PCT 1149	10	8001146	PCT 1146  C/S	0	0001146	PCT 1146  C/S
2014June3 		2231	0001150		PCT 1150	10	8001150	PCT 1150  C/S	0	0001150	PCT 1150  C/S
2014June3 		2232	0001151		PCT 1151	10	8001150	PCT 1150  C/S	0	0001150	PCT 1150  C/S
2014June3 		2233	0001152		PCT 1152	10	8001152	PCT 1152  C/S	0	0001152	PCT 1152  C/S
2014June3 		2234	0001153		PCT 1153	10	8001153	PCT 1153  C/S	0	0001153	PCT 1153  C/S
2014June3 		2235	0001154		PCT 1154	10	8001153	PCT 1153  C/S	0	0001153	PCT 1153  C/S
2014June3 		2236	0001155		PCT 1155	10	8001155	PCT 1155  C/S	0	0001155	PCT 1155  C/S
2014June3 		2237	0001156		PCT 1156	10	8001155	PCT 1155  C/S	0	0001155	PCT 1155  C/S
2014June3 		2238	0001157		PCT 1157	10	8001136	PCT 1136  C/H/K/S	0	0001136	PCT 1136  C/H/K/S
2014June3 		2239	0001158		PCT 1158	10	8001158	PCT 1158  C	0	0001158	PCT 1158  C
2014June3 		2240	0001159		PCT 1159	10	8001158	PCT 1158  C	0	0001158	PCT 1158  C
2014June3 		2241	0001160		PCT 1160	10	8001160	PCT 1160  C/K	0	0001160	PCT 1160  C/K
2014June3 		2242	0001161		PCT 1161	10	8001161	PCT 1161  C/J/S	0	0001161	PCT 1161  C/J/S
2014June3 		2243	0001162		PCT 1162	10	8001161	PCT 1161  C/J/S	0	0001161	PCT 1161  C/J/S
2014June3 		2244	0001163		PCT 1163	10	8001163	PCT 1163  C/J/S	0	0001163	PCT 1163  C/J/S
2014June3 		2245	0001164		PCT 1164	10	8001160	PCT 1160  C/K	0	0001160	PCT 1160  C/K
2014June3 		2246	0001165		PCT 1165	10	8001165	PCT 1165  C	0	0001165	PCT 1165  C
2014June3 		2247	0001166		PCT 1166	10	8001144	PCT 1144  C/S	0	0001144	PCT 1144  C/S
2014June3 		2248	0001167		PCT 1167	10	8001160	PCT 1160  C/K	0	0001160	PCT 1160  C/K
2014June3 		2249	0001168		PCT 1168	10	8001147	PCT 1147  C/S	0	0001147	PCT 1147  C/S
2014June3 		4161	0001169		PCT 1169	10	8001129	PCT 1129  C/J/K/S	0	0001129	PCT 1129  C/J/K/S
2014June3 		4162	0001170		PCT 1170	10	8001129	PCT 1129  C/J/K/S	0	0001129	PCT 1129  C/J/K/S
2014June3 		2252	0001171		PCT 1171	10	8001165	PCT 1165  C	0	0001165	PCT 1165  C
2014June3 		2253	0001172		PCT 1172	10	8001158	PCT 1158  C	0	0001158	PCT 1158  C
2014June3 		2254	0001173		PCT 1173	10	8001161	PCT 1161  C/J/S	0	0001161	PCT 1161  C/J/S
2014June3 		2255	0001174		PCT 1174	10	8001163	PCT 1163  C/J/S	0	0001163	PCT 1163  C/J/S
2014June3 		2256	0001175		PCT 1175	10	8001163	PCT 1163  C/J/S	0	0001163	PCT 1163  C/J/S
2014June3 		2257	0001176		PCT 1176	10	8001160	PCT 1160  C/K	0	0001160	PCT 1160  C/K
2014June3 		2258	0001177		PCT 1177	10	8001160	PCT 1160  C/K	0	0001160	PCT 1160  C/K
2014June3 		2259	0001178		PCT 1178	10	8001139	PCT 1139  C/S	0	0001139	PCT 1139  C/S
2014June3 		2260	0001179		PCT 1179	10	8001141	PCT 1141  C/S	0	0001141	PCT 1141  C/S
2014June3 		2261	0001180		PCT 1180	10	8001150	PCT 1150  C/S	0	0001150	PCT 1150  C/S
2014June3 		2262	0001198		PCT 1198	13	8001198	PCT 1198  H/S	0	0001198	PCT 1198  H/S
2014June3 		2263	0001199		PCT 1199	13	8001199	PCT 1199  C/S	0	0001199	PCT 1199  C/S
2014June3 		2264	0001201		PCT 1201	6	8001201	PCT 1201  S/V	0	0001201	PCT 1201  S/V
2014June3 		2265	0001202		PCT 1202	8	8001094	PCT 1094  S/V	0	0001094	PCT 1094  S/V
2014June3 		2266	0001203		PCT 1203	8	8001094	PCT 1094  S/V	0	0001094	PCT 1094  S/V
2014June3 		2267	0001204		PCT 1204	14	8001204	PCT 1204  H/S/V	0	0001204	PCT 1204  H/S/V
2014June3 		2268	0001205		PCT 1205	8	8001205	PCT 1205  C/S/V	0	0001205	PCT 1205  C/S/V
2014June3 		2269	0001206		PCT 1206	8	8001206	PCT 1206  C/S/V	0	0001206	PCT 1206  C/S/V
2014June3 		2270	0001207		PCT 1207	8	8001207	PCT 1207  H/S/V	0	0001207	PCT 1207  H/S/V
2014June3 		2271	0001208		PCT 1208	8	8001208	PCT 1208  S/V	0	0001208	PCT 1208  S/V
2014June3 		2272	0001209		PCT 1209	8	8001209	PCT 1209  S/V	0	0001209	PCT 1209  S/V
2014June3 		2273	0001210		PCT 1210	2	8001210	PCT 1210  H/S/V	0	0001210	PCT 1210  H/S/V
2014June3 		2274	0001211		PCT 1211	8	8001209	PCT 1209  S/V	0	0001209	PCT 1209  S/V
2014June3 		2275	0001212		PCT 1212	2	8001212	PCT 1212  H/S/V	0	0001212	PCT 1212  H/S/V
2014June3 		2276	0001213		PCT 1213	2	8001210	PCT 1210  H/S/V	0	0001210	PCT 1210  H/S/V
2014June3 		2277	0001214		PCT 1214	2	8001214	PCT 1214  S/V	0	0001214	PCT 1214  S/V
2014June3 		2278	0001215		PCT 1215	2	8001215	PCT 1215  S/V	0	0001215	PCT 1215  S/V
2014June3 		2279	0001216		PCT 1216	2	8001214	PCT 1214  S/V	0	0001214	PCT 1214  S/V
2014June3 		2280	0001217		PCT 1217	8	8001217	PCT 1217  H/S/V	0	0001217	PCT 1217  H/S/V
2014June3 		2281	0001218		PCT 1218	2	8001218	PCT 1218  C/S	0	0001218	PCT 1218  C/S
2014June3 		2282	0001219		PCT 1219	2	8001218	PCT 1218  C/S	0	0001218	PCT 1218  C/S
2014June3 		2283	0001220		PCT 1220	8	8001220	PCT 1220  H/S/V	0	0001220	PCT 1220  H/S/V
2014June3 		2284	0001221		PCT 1221	2	8001221	PCT 1221  S	0	0001221	PCT 1221  S
2014June3 		2285	0001222		PCT 1222	2	8001222	PCT 1222  S	0	0001222	PCT 1222  S
2014June3 		2286	0001223		PCT 1223	2	8001223	PCT 1223  S	0	0001223	PCT 1223  S
2014June3 		2287	0001224		PCT 1224	2	8001224	PCT 1224  S	0	0001224	PCT 1224  S
2014June3 		2288	0001225		PCT 1225	2	8001223	PCT 1223  S	0	0001223	PCT 1223  S
2014June3 		2289	0001226		PCT 1226	2	8001226	PCT 1226  S/V	0	0001226	PCT 1226  S/V
2014June3 		2290	0001227		PCT 1227	2	8001227	PCT 1227  S/V	0	0001227	PCT 1227  S/V
2014June3 		2291	0001228		PCT 1228	2	8001227	PCT 1227  S/V	0	0001227	PCT 1227  S/V
2014June3 		2292	0001229		PCT 1229	2	8001229	PCT 1229  C/S/V	0	0001229	PCT 1229  C/S/V
2014June3 		2293	0001230		PCT 1230	8	8001220	PCT 1220  H/S/V	0	0001220	PCT 1220  H/S/V
2014June3 		2294	0001231		PCT 1231	2	8001231	PCT 1231  C/S	0	0001231	PCT 1231  C/S
2014June3 		2295	0001232		PCT 1232	2	8001232	PCT 1232  S	0	0001232	PCT 1232  S
2014June3 		2296	0001233		PCT 1233	2	8001232	PCT 1232  S	0	0001232	PCT 1232  S
2014June3 		2297	0001234		PCT 1234	2	8001234	PCT 1234  S	0	0001234	PCT 1234  S
2014June3 		2298	0001235		PCT 1235	2	8001231	PCT 1231  C/S	0	0001231	PCT 1231  C/S
2014June3 		2299	0001236		PCT 1236	2	8001236	PCT 1236  C/S	0	0001236	PCT 1236  C/S
2014June3 		2300	0001237		PCT 1237	2	8001236	PCT 1236  C/S	0	0001236	PCT 1236  C/S
2014June3 		2301	0001238		PCT 1238	2	8001238	PCT 1238  S	0	0001238	PCT 1238  S
2014June3 		2302	0001239		PCT 1239	2	8001239	PCT 1239  S	0	0001239	PCT 1239  S
2014June3 		2303	0001240		PCT 1240	2	8001240	PCT 1240  S	0	0001240	PCT 1240  S
2014June3 		2304	0001241		PCT 1241	2	8001229	PCT 1229  C/S/V	0	0001229	PCT 1229  C/S/V
2014June3 		2305	0001242		PCT 1242	2	8001242	PCT 1242  P/S	0	0001242	PCT 1242  P/S
2014June3 		2306	0001243		PCT 1243	2	8001242	PCT 1242  P/S	0	0001242	PCT 1242  P/S
2014June3 		2307	0001244		PCT 1244	2	8001244	PCT 1244  P/S	0	0001244	PCT 1244  P/S
2014June3 		2308	0001245		PCT 1245	2	8001245	PCT 1245  P/S/V	0	0001245	PCT 1245  P/S/V
2014June3 		2309	0001246		PCT 1246	2	8001246	PCT 1246  S/V	0	0001246	PCT 1246  S/V
2014June3 		2310	0001247		PCT 1247	2	8001247	PCT 1247  C/S/V	0	0001247	PCT 1247  C/S/V
2014June3 		2311	0001248		PCT 1248	2	8001247	PCT 1247  C/S/V	0	0001247	PCT 1247  C/S/V
2014June3 		2312	0001249		PCT 1249	2	8001245	PCT 1245  P/S/V	0	0001245	PCT 1245  P/S/V
2014June3 		2313	0001250		PCT 1250	2	8001250	PCT 1250  C/S	0	0001250	PCT 1250  C/S
2014June3 		2314	0001251		PCT 1251	2	8001218	PCT 1218  C/S	0	0001218	PCT 1218  C/S
2014June3 		2315	0001252		PCT 1252	2	8001252	PCT MAIL 1252	1	0001252	PCT MAIL 1252
2014June3 		2316	0001253		PCT 1253	2	8001252	PCT MAIL 1252	1	0001252	PCT MAIL 1252
2014June3 		2317	0001254		PCT 1254	14	8001204	PCT 1204  H/S/V	0	0001204	PCT 1204  H/S/V
2014June3 		2318	0001255		PCT 1255	8	8001205	PCT 1205  C/S/V	0	0001205	PCT 1205  C/S/V
2014June3 		2319	0001256		PCT 1256	6	8001201	PCT 1201  S/V	0	0001201	PCT 1201  S/V
2014June3 		2320	0001257		PCT 1257	2	8001218	PCT 1218  C/S	0	0001218	PCT 1218  C/S
2014June3 		2321	0001258		PCT 1258	2	8001069	PCT 1069  C/S	0	0001069	PCT 1069  C/S
2014June3 		2322	0001259		PCT 1259	8	8001082	PCT 1082  P/S/V	0	0001082	PCT 1082  P/S/V
2014June3 		2323	0001260		PCT 1260	8	8001217	PCT 1217  H/S/V	0	0001217	PCT 1217  H/S/V
2014June3 		2324	0001261		PCT 1261	2	8001224	PCT 1224  S	0	0001224	PCT 1224  S
2014June3 		2325	0001262		PCT 1262	8	8001206	PCT 1206  C/S/V	0	0001206	PCT 1206  C/S/V
2014June3 		2326	0001263		PCT 1263	2	8001246	PCT 1246  S/V	0	0001246	PCT 1246  S/V
2014June3 		2327	0001264		PCT 1264	8	8001208	PCT 1208  S/V	0	0001208	PCT 1208  S/V
2014June3 		2328	0001265		PCT 1265	8	8001208	PCT 1208  S/V	0	0001208	PCT 1208  S/V
2014June3 		2329	0001266		PCT 1266	8	8001266	PCT MAIL 1266	1	0001266	PCT MAIL 1266
2014June3 		2330	0001267		PCT 1267	2	8001212	PCT 1212  H/S/V	0	0001212	PCT 1212  H/S/V
2014June3 		2332	0001269		PCT 1269	2	8001215	PCT 1215  S/V	0	0001215	PCT 1215  S/V
2014June3 		2333	0001270		PCT 1270	2	8001236	PCT 1236  C/S	0	0001236	PCT 1236  C/S
2014June3 		2334	0001271		PCT 1271	2	8001250	PCT 1250  C/S	0	0001250	PCT 1250  C/S
2014June3 		2335	0001272		PCT 1272	2	8001250	PCT 1250  C/S	0	0001250	PCT 1250  C/S
2014June3 		2336	0001273		PCT 1273	2	8001250	PCT 1250  C/S	0	0001250	PCT 1250  C/S
2014June3 		2337	0001274		PCT 1274	2	8001274	PCT 1274  S/V	0	0001274	PCT 1274  S/V
2014June3 		2338	0001275		PCT 1275	2	8001238	PCT 1238  S	0	0001238	PCT 1238  S
2014June3 		2339	0001276		PCT 1276	15	8001276	PCT 1276  S/V	0	0001276	PCT 1276  S/V
2014June3 		2340	0001277		PCT 1277	15	8001276	PCT 1276  S/V	0	0001276	PCT 1276  S/V
2014June3 		2341	0001278		PCT 1278	2	8001252	PCT MAIL 1252	1	0001252	PCT MAIL 1252
2014June3 		2342	0001279		PCT 1279	2	8001244	PCT 1244  P/S	0	0001244	PCT 1244  P/S
2014June3 		2343	0001280		PCT 1280	2	8001234	PCT 1234  S	0	0001234	PCT 1234  S
2014June3 		4142	0001281		PCT 1281	16	8001281	PCT MAIL 1281	1	0001281	PCT MAIL 1281
